wedge,0,1000.00 1220.95 434.83,1000.00 1220.95 434.83,1075.00 1370.95 434.83,925.00 1370.95 434.83,1150.00 1520.95 434.83,850.00 1520.95 434.83,1225.00 1670.95 434.83,775.00 1670.95 434.83,1300.00 1820.95 434.83,700.00 1820.95 434.83
wedge,1,1000.00 960.03 404.58,1000.00 960.03 404.58,1075.00 1110.03 404.58,925.00 1110.03 404.58,1150.00 1260.03 404.58,850.00 1260.03 404.58,1225.00 1410.03 404.58,775.00 1410.03 404.58,1300.00 1560.03 404.58,700.00 1560.03 404.58
wedge,2,1000.00 1283.97 405.69,1000.00 1283.97 405.69,1075.00 1433.97 405.69,925.00 1433.97 405.69,1150.00 1583.97 405.69,850.00 1583.97 405.69,1225.00 1733.97 405.69,775.00 1733.97 405.69,1300.00 1883.97 405.69,700.00 1883.97 405.69
wedge,3,1000.00 1080.55 264.75,1000.00 1080.55 264.75,1075.00 1230.55 264.75,925.00 1230.55 264.75,1150.00 1380.55 264.75,850.00 1380.55 264.75,1225.00 1530.55 264.75,775.00 1530.55 264.75,1300.00 1680.55 264.75,700.00 1680.55 264.75
wedge,4,1000.00 1025.22 310.55,1000.00 1025.22 310.55,1075.00 1175.22 310.55,925.00 1175.22 310.55,1150.00 1325.22 310.55,850.00 1325.22 310.55,1225.00 1475.22 310.55,775.00 1475.22 310.55,1300.00 1625.22 310.55,700.00 1625.22 310.55
wedge,5,1000.00 917.77 268.90,1000.00 917.77 268.90,1075.00 1067.77 268.90,925.00 1067.77 268.90,1150.00 1217.77 268.90,850.00 1217.77 268.90,1225.00 1367.77 268.90,775.00 1367.77 268.90,1300.00 1517.77 268.90,700.00 1517.77 268.90
wedge,6,1000.00 1223.46 317.11,1000.00 1223.46 317.11,1075.00 1373.46 317.11,925.00 1373.46 317.11,1150.00 1523.46 317.11,850.00 1523.46 317.11,1225.00 1673.46 317.11,775.00 1673.46 317.11,1300.00 1823.46 317.11,700.00 1823.46 317.11
wedge,7,1000.00 694.13 483.44,1000.00 694.13 483.44,1075.00 844.13 483.44,925.00 844.13 483.44,1150.00 994.13 483.44,850.00 994.13 483.44,1225.00 1144.13 483.44,775.00 1144.13 483.44,1300.00 1294.13 483.44,700.00 1294.13 483.44
wedge,8,1000.00 760.60 697.09,1000.00 760.60 697.09,1075.00 910.60 697.09,925.00 910.60 697.09,1150.00 1060.60 697.09,850.00 1060.60 697.09,1225.00 1210.60 697.09,775.00 1210.60 697.09,1300.00 1360.60 697.09,700.00 1360.60 697.09
wedge,9,1000.00 1179.47 417.41,1000.00 1179.47 417.41,1075.00 1329.47 417.41,925.00 1329.47 417.41,1150.00 1479.47 417.41,850.00 1479.47 417.41,1225.00 1629.47 417.41,775.00 1629.47 417.41,1300.00 1779.47 417.41,700.00 1779.47 417.41
wedge,10,1000.00 850.48 240.89,1000.00 850.48 240.89,1075.00 1000.48 240.89,925.00 1000.48 240.89,1150.00 1150.48 240.89,850.00 1150.48 240.89,1225.00 1300.48 240.89,775.00 1300.48 240.89,1300.00 1450.48 240.89,700.00 1450.48 240.89
wedge,11,1000.00 1003.86 574.93,1000.00 1003.86 574.93,1075.00 1153.86 574.93,925.00 1153.86 574.93,1150.00 1303.86 574.93,850.00 1303.86 574.93,1225.00 1453.86 574.93,775.00 1453.86 574.93,1300.00 1603.86 574.93,700.00 1603.86 574.93
wedge,12,1000.00 694.66 325.99,1000.00 694.66 325.99,1075.00 844.66 325.99,925.00 844.66 325.99,1150.00 994.66 325.99,850.00 994.66 325.99,1225.00 1144.66 325.99,775.00 1144.66 325.99,1300.00 1294.66 325.99,700.00 1294.66 325.99
wedge,13,1000.00 937.64 266.89,1000.00 937.64 266.89,1075.00 1087.64 266.89,925.00 1087.64 266.89,1150.00 1237.64 266.89,850.00 1237.64 266.89,1225.00 1387.64 266.89,775.00 1387.64 266.89,1300.00 1537.64 266.89,700.00 1537.64 266.89
wedge,14,1000.00 1330.93 244.75,1000.00 1330.93 244.75,1075.00 1480.93 244.75,925.00 1480.93 244.75,1150.00 1630.93 244.75,850.00 1630.93 244.75,1225.00 1780.93 244.75,775.00 1780.93 244.75,1300.00 1930.93 244.75,700.00 1930.93 244.75
wedge,15,1000.00 849.66 435.42,1000.00 849.66 435.42,1075.00 999.66 435.42,925.00 999.66 435.42,1150.00 1149.66 435.42,850.00 1149.66 435.42,1225.00 1299.66 435.42,775.00 1299.66 435.42,1300.00 1449.66 435.42,700.00 1449.66 435.42
wedge,16,1000.00 1278.54 451.66,1000.00 1278.54 451.66,1075.00 1428.54 451.66,925.00 1428.54 451.66,1150.00 1578.54 451.66,850.00 1578.54 451.66,1225.00 1728.54 451.66,775.00 1728.54 451.66,1300.00 1878.54 451.66,700.00 1878.54 451.66
wedge,17,1000.00 800.41 332.30,1000.00 800.41 332.30,1075.00 950.41 332.30,925.00 950.41 332.30,1150.00 1100.41 332.30,850.00 1100.41 332.30,1225.00 1250.41 332.30,775.00 1250.41 332.30,1300.00 1400.41 332.30,700.00 1400.41 332.30
wedge,18,1000.00 1008.19 642.51,1000.00 1008.19 642.51,1075.00 1158.19 642.51,925.00 1158.19 642.51,1150.00 1308.19 642.51,850.00 1308.19 642.51,1225.00 1458.19 642.51,775.00 1458.19 642.51,1300.00 1608.19 642.51,700.00 1608.19 642.51
wedge,19,1000.00 1027.98 257.96,1000.00 1027.98 257.96,1075.00 1177.98 257.96,925.00 1177.98 257.96,1150.00 1327.98 257.96,850.00 1327.98 257.96,1225.00 1477.98 257.96,775.00 1477.98 257.96,1300.00 1627.98 257.96,700.00 1627.98 257.96
wedge,20,1000.00 751.85 677.10,1000.00 751.85 677.10,1075.00 901.85 677.10,925.00 901.85 677.10,1150.00 1051.85 677.10,850.00 1051.85 677.10,1225.00 1201.85 677.10,775.00 1201.85 677.10,1300.00 1351.85 677.10,700.00 1351.85 677.10
wedge,21,1000.00 1464.78 592.30,1000.00 1464.78 592.30,1075.00 1614.78 592.30,925.00 1614.78 592.30,1150.00 1764.78 592.30,850.00 1764.78 592.30,1225.00 1914.78 592.30,775.00 1914.78 592.30,1300.00 2064.78 592.30,700.00 2064.78 592.30
